uniqueid,text,text_translated,media,source,mode,num_persons,_timestamp,confidence,source_reliability,locations,origin_bool,origin,destination,geom_tweet,triage_status
1539,RT @NewsRevo: #MarchOfHope: #Refugees are still walking from #Budapest to #Austria. p/v @SebJabbusch #RefugiadosBienvenidos http://t.co/Cdq…,marchofhope refugees are still walking from budapest to austria p v refugiadosbienvenidos,['http://pbs.twimg.com/media/COEghJVUEAA3eK6.jpg'],twitter,on foot,,2019-09-27 15:52:27.000000,0.70,0.81,"['budapest', 'austria']",,HU110,AT,0101000000B003E78C280D3340D7A3703D0ABF4740,
1540,RT @jsrroger: Obama has opened Floodgates for MUSLIM REFUGEES Distributed by Bus &amp; Train_while America slept_ http://t.co/5rHxKe1fg5,obama has opened floodgates for muslim refugees distributed by bus amp train while america slept,['http://pbs.twimg.com/media/CMpfOM0UYAAb5Zz.png'],twitter,bus,,2019-09-27 15:58:01.000000,0.80,0.00,[],,,,,
1541,RT @IrishMirror: Thousands of refugees begin walking along motorway to Austria after authorities refuse to let them on trains http://t.co/t…,thousands of refugees begin walking along motorway to austria after authorities refuse to let them on trains,,twitter,on foot,,2019-09-27 16:12:50.000000,0.92,0.95,['austria'],,,AT,010100000076711B0DE05D30409A99999999194840,
1542,RT @saulocorona: #Hungary closes main border crossing with #Serbia: http://t.co/qrWOQGYKAH #Roszke #Refugees #RefugeeCrisis http://t.co/GPg…,hungary closes main border crossing with serbia roszke refugees refugeecrisis,['http://pbs.twimg.com/media/COEmCrkUwAAUzvs.jpg'],twitter,,,2019-09-27 16:16:35.000000,0.89,0.95,"['hungary', 'serbia']",,,,0101000000B003E78C280D3340D7A3703D0ABF4740,
1543,Thousands of refugees begin march to Vienna from Budapest – video http://t.co/J1nqKjEdbC #wikileaks #p2 #news,thousands of refugees begin march to vienna from budapest video wikileaks p2 news,,twitter,on foot,,2019-09-27 16:17:36.000000,0.82,0.99,"['vienna', 'budapest']",,HU110,AT13,010100000076711B0DE05D30409A99999999194840,
1544,"RT @ISTANBUL_THEMES: #MARCHofHOPE  #REFUGEESWELCOME  #MIGRANTMARCH
#MigrantMarch moving again towards #Austria. #Budapest http://t.co/SdShL…",marchofhope refugeeswelcome migrantmarch migrantmarch moving again towards austria budapest,['http://pbs.twimg.com/ext_tw_video_thumb/639791456824135681/pu/img/T9KWQZRvxLx4K1Kf.jpg'],twitter,on foot,,2019-09-27 16:21:15.000000,0.67,0.51,"['austria', 'budapest']",,,HU110,0101000000B003E78C280D3340D7A3703D0ABF4740,
1545,RT @MetroUK: Thousands of refugees take to motorway to walk to Austria from Hungary #RefugeesWelcome  http://t.co/6PHH1fNe3e http://t.co/QO…,thousands of refugees take to motorway to walk to austria from hungary refugeeswelcome,['http://pbs.twimg.com/media/COEsVFoUcAAuT6D.jpg'],twitter,on foot,,2019-09-27 16:44:03.000000,0.53,0.99,"['austria', 'hungary']",,HU,AT,010100000076711B0DE05D30409A99999999194840,
1546,"RT @UptheCypherPunx: 10,000 Icelanders offered up their homes to Syrian refugees

#refugeeswelcome #Iceland

http://t.co/YaorCUeSuT",10 000 icelanders offered up their homes to syrian refugees refugeeswelcome iceland,,twitter,,,2019-09-27 16:49:51.000000,0.90,0.88,"['iceland', 'syria', 'iceland']",,,IS,,
1547,RT @En_French_Coach: Hundreds of#refugees begin long march to#Austria from #Budapest #refugeecrisis #MigrantMarch #migrantcrisis #Hungary h…,hundreds of refugees begin long march to austria from budapest refugeecrisis migrantmarch migrantcrisis hungary h,['http://pbs.twimg.com/media/COEu6RLWUAAEwWr.jpg'],twitter,on foot,,2019-09-27 16:55:24.000000,1.00,0.86,"['austria', 'budapest', 'hungary']",,HU110,AT,0101000000B003E78C280D3340D7A3703D0ABF4740,
1548,RT @TahrirSy: #Refugees on crutches walk all the way from #Hungary towards #Austria boarders http://t.co/h1CYNbW2wt,refugees on crutches walk all the way from hungary towards austria boarders,['http://pbs.twimg.com/media/COEwAkXUEAAtQz-.jpg'],twitter,on foot,,2019-09-27 17:00:08.000000,0.71,0.18,"['hungary', 'austria']",,HU,AT,0101000000B003E78C280D3340D7A3703D0ABF4740,
1549,"RT @Refugees: As dusk sets in, hundreds of refugees have decided to walk from #Hungary to #Austria. #Europe http://t.co/24zypUDsNm",as dusk sets in hundreds of refugees have decided to walk from hungary to austria europe,['http://pbs.twimg.com/media/COE03uoW8AArdMG.jpg'],twitter,on foot,,2019-09-27 17:21:22.000000,0.99,1.00,"['hungary', 'austria']",,HU,AT,0101000000B003E78C280D3340D7A3703D0ABF4740,
1550,"RT @EUWatchers: Refugees Set Out from Hungary on Foot, Headed to Austria – #... http://t.co/0MECHt5ENP via @newsrevo #eurocrisis http://t.c…",refugees set out from hungary on foot headed to austria via eurocrisis,['http://pbs.twimg.com/media/COE4kfdVAAAtcPz.jpg'],twitter,on foot,,2019-09-27 17:37:32.000000,0.73,1.00,"['hungary', 'austria']",,HU,AT,0101000000B003E78C280D3340D7A3703D0ABF4740,
1551,"Czech Cops Haul Refugees Off Trains To Germany, Writes Numbers On Their Arms In Ink http://t.co/cQfj45V7l5",czech cops haul refugees off trains to germany writes numbers on their arms in ink,,twitter,train,,2019-09-27 18:46:35.000000,0.53,0.17,['germany'],,,DE,0101000000151DC9E53FC42A40EEEBC03923424A40,
1552,RT @Independent: Hundreds of refugees are walking from Hungary to Austria  http://t.co/2cg4iOwb6s http://t.co/ZrsJ1GGADl,hundreds of refugees are walking from hungary to austria,['http://pbs.twimg.com/media/COFKfWMXAAAOT1_.jpg'],twitter,on foot,,2019-09-27 18:56:00.000000,0.99,1.00,"['hungary', 'austria']",,HU,,0101000000B003E78C280D3340D7A3703D0ABF4740,
1553,RT @BuzzFeedNews: Thousands Of Refugees Have Left Budapest And Are Walking To Austria http://t.co/whpVBwK7BB http://t.co/QMESsCHY3R,thousands of refugees have left budapest and are walking to austria,['http://pbs.twimg.com/media/COFKxw8WUAAEn1j.jpg'],twitter,on foot,,2019-09-27 18:57:18.000000,0.86,1.00,"['budapest', 'austria']",,,,0101000000B003E78C280D3340D7A3703D0ABF4740,
1554,Thousands of Refugees Walk from Budapest to Austria http://t.co/n3oHerfRwF,thousands of refugees walk from budapest toaustria,,twitter,on foot,,2019-09-27 19:06:39.000000,0.70,1.00,"['budapest', 'austria']",,HU110,,0101000000B003E78C280D3340D7A3703D0ABF4740,
1555,RT @AP: BREAKING: Hungary announces it will offer buses to the migrants to take them to the Austrian border.,breaking hungary announces it will offer buses to the migrants to take them to the austrian border,,twitter,bus,,2019-09-27 19:27:01.000000,0.94,0.81,"['hungary', 'austria']",,,,0101000000B003E78C280D3340D7A3703D0ABF4740,
1556,RT @BBCBreaking: Hungary announces it will provide buses to take refugees &amp; migrants to the Austrian border http://t.co/3br5HlIn2Z http://t…,hungary announces it will provide buses to take refugees amp migrants to the austrian border,['http://pbs.twimg.com/media/COFS6OQWUAAri_l.jpg'],twitter,bus,,2019-09-27 19:33:39.000000,0.61,1.00,"['hungary', 'austria']",,,,0101000000B003E78C280D3340D7A3703D0ABF4740,
1557,Hungary is now pressured into supplying buses to take the migrants to the Austrian border. Have fun Austria.,hungary is now pressured into supplying buses to take the migrants to the austrian border have fun austria,,twitter,bus,,2019-09-27 19:37:46.000000,0.77,0.76,"['hungary', 'austria']",,,,0101000000B003E78C280D3340D7A3703D0ABF4740,
1558,RT @Channel4News: #RefugeeCrisis: Hundreds begin march to Austria - @mattfrei @NanettevdLaan @daibaker http://t.co/ee1OgvxoV1 http://t.co/P…,refugeecrisis hundreds begin march to austria,['http://pbs.twimg.com/media/COFUw95WcAAstQ9.jpg'],twitter,on foot,,2019-09-27 19:40:44.000000,1.00,0.31,['austria'],,,AT,010100000076711B0DE05D30409A99999999194840,
1559,The Latest: Hungary to send buses to take migrants to border http://t.co/kAAaLYYgmN,the latest hungary to send buses to take migrants to border,,twitter,bus,,2019-09-27 19:47:39.000000,0.83,1.00,['hungary'],,,,0101000000B003E78C280D3340D7A3703D0ABF4740,
1560,Hungary will offer to bus migrants to Austrian border - Washington Post  http://t.co/La0Le8vpIL,hungary will offer to bus migrants to austrian border washington post,,twitter,bus,,2019-09-27 20:00:28.000000,0.97,0.97,"['hungary', 'austria']",,,,0101000000B003E78C280D3340D7A3703D0ABF4740,
1561,RT @Fe_DiLeo: #Migrants #Refugees or just people. Incredibile march from #Hungary towards #Austria and #Germany http://t.co/gWpLBqH661,migrants refugees or just people incredibile march from hungary towards austria and germany,['http://pbs.twimg.com/ext_tw_video_thumb/639791456824135681/pu/img/T9KWQZRvxLx4K1Kf.jpg'],twitter,on foot,,2019-09-27 20:01:56.000000,0.88,0.97,"['hungary', 'austria', 'germany']",,HU,AT,0101000000B003E78C280D3340D7A3703D0ABF4740,
1562,"http://t.co/bs9xkIILwF #news Refugees in Hungary flee halted train, begin trek on foot toward Austria - Washington Post",news refugees in hungary flee halted train begin trek on foot toward austria washington post,,twitter,on foot,,2019-09-27 20:12:43.000000,0.89,0.25,"['hungary', 'austria']",,,AT,0101000000B003E78C280D3340D7A3703D0ABF4740,
1563,"RT @AP: MORE: In surprise announcement, Hungary says it will take hundreds of migrants to Austrian border in buses: http://t.co/6ffalu3kUJ",more in surprise announcement hungary says it will take hundreds of migrants to austrian border in buses,,twitter,bus,,2019-09-27 20:06:18.000000,1.00,0.99,"['hungary', 'austria']",,,,0101000000B003E78C280D3340D7A3703D0ABF4740,
1564,#Hungary #offers buses to take migrants to Austrian #border... @anncoulter @anncoulter https://t.co/r4YS66C4aV,hungary offers buses to take migrants to austrian border,,twitter,bus,,2019-09-27 20:08:01.000000,0.70,0.78,"['hungary', 'austria']",,,,0101000000B003E78C280D3340D7A3703D0ABF4740,
1565,Hungary to bus migrants to border: Hungary is to send buses to transport migrants to Austrian border after the... http://t.co/UQBCOJt1BN,hungary to bus migrants to border hungary is to send buses to transport migrants to austrian border after the,,twitter,bus,,2019-09-27 20:10:17.000000,0.80,0.95,"['hungary', 'austria']",,,,0101000000B003E78C280D3340D7A3703D0ABF4740,
1566,RT @Reuters: Hungary says it will transport thousands of migrants to Austrian border by bus: http://t.co/T7YkTai8If http://t.co/khJGWKEk7U,hungary says it will transport thousands of migrants to austrian border by bus,['http://pbs.twimg.com/media/COFfmzqVAAAVcvH.jpg'],twitter,bus,,2019-09-27 20:28:05.000000,0.98,1.00,"['hungary', 'austria']",,,,0101000000B003E78C280D3340D7A3703D0ABF4740,
1567,RT @anadoluagency: Migrants begin long walk from Budapest to Austria http://t.co/oMW4ENsf3K http://t.co/Ni2vx5o7us,migrants begin long walk from budapest to austria,['http://pbs.twimg.com/media/COFg2TFWUAEQAR7.jpg'],twitter,on foot,,2019-09-27 20:33:30.000000,0.96,1.00,"['budapest', 'austria']",,HU110,AT,0101000000B003E78C280D3340D7A3703D0ABF4740,
1568,Hungary says to transport migrants to Austrian border by bus http://t.co/9bvoNYamik,hungary says to transport migrants to austrian border by bus,,twitter,bus,,2019-09-27 20:34:16.000000,0.88,0.90,"['hungary', 'austria']",,,,0101000000B003E78C280D3340D7A3703D0ABF4740,
1569,Hungary to bus migrants to border - http://t.co/mCpRSFdjl0,hungary to bus migrants to border,,twitter,bus,,2019-09-27 20:46:03.000000,0.86,1.00,['hungary'],,,,0101000000B003E78C280D3340D7A3703D0ABF4740,
1570,Migrant crisis: Hungary to bus migrants to Austria border - BBC News: BBC News Migrant… http://t.co/fr0cinupTq,migrant crisis hungary to bus migrants to austria border bbc news bbc news migrant,,twitter,bus,,2019-09-27 20:46:42.000000,1.00,0.77,"['hungary', 'austria']",,,AT,0101000000B003E78C280D3340D7A3703D0ABF4740,
1571,Latest news on #refugees marching from Hugary to Vienna. http://t.co/dsycvg25VC #migrant #refugees… https://t.co/LPh5fgXDQ0,latest news on refugees marching from hugary to vienna migrant refugees,,twitter,on foot,,2019-09-27 21:23:45.000000,0.79,0.79,['vienna'],,,AT13,010100000076711B0DE05D30409A99999999194840,
1572,Thousands of migrants WALKING across Hungary to Austria http://t.co/vCu95jaSPM,thousands of migrants walking across hungary to austria,,twitter,on foot,,2019-09-27 21:45:11.000000,0.96,1.00,"['hungary', 'austria']",,,,0101000000B003E78C280D3340D7A3703D0ABF4740,
1573,rt #InternationalBee Hungary to bus migrants to border: Hungary is sending buses to transport migrants to the ...  http://t.co/c1MnkBopj1,rt internationalbee hungary to bus migrants to border hungary is sending buses to transport migrants to the,,twitter,bus,,2019-09-27 22:34:43.000000,0.57,0.86,['hungary'],,,,0101000000B003E78C280D3340D7A3703D0ABF4740,
1574,rt #AUSvNZL Hungary to bus migrants to border: Hungary is sending buses to transport migrants to the border wi...  http://t.co/IeiGWM5PGP,rt ausvnzl hungary to bus migrants to border hungary is sending buses to transport migrants to the border wi,,twitter,bus,,2019-09-27 22:34:43.000000,0.50,0.85,['hungary'],,,,0101000000B003E78C280D3340D7A3703D0ABF4740,
1575,RT @NBCNightlyNews: Migrants and refugees in Hungary start walking to Austria border. @RichardEngel reports now #NBCNightlyNews http://t.co…,migrants and refugees in hungary start walking to austria border reports now nbcnightlynews,['http://pbs.twimg.com/media/COF-NwTWgAA2lJ4.jpg'],twitter,on foot,,2019-09-27 22:42:13.000000,0.74,0.84,"['hungary', 'austria']",,,AT,0101000000B003E78C280D3340D7A3703D0ABF4740,
1576,RT @otmarianna: Buses that take migrants to Austrian border have arrived to #Keleti migrants rushing to them,buses that take migrants to austrian border have arrived to keleti migrants rushing to them,,twitter,bus,,2019-09-27 22:46:46.000000,0.97,0.59,['austria'],,,,010100000076711B0DE05D30409A99999999194840,
1577,RT @dominiksipinski: #Refugees from #Keleti now boarding buses to Austria - unbelievable relief http://t.co/KzQ7R5vQb2,refugees from keleti now boarding buses to austria unbelievable relief,['http://pbs.twimg.com/media/COF_pmSWoAAl_af.jpg'],twitter,bus,,2019-09-27 22:48:08.000000,0.94,0.05,['austria'],,,AT,010100000076711B0DE05D30409A99999999194840,
1578,Hungary to bus migrants to border #USRC /bbc http://t.co/Wqozw6zmNC,hungary to bus migrants to border usrc bbc,,twitter,bus,,2019-09-27 22:51:39.000000,0.77,0.69,['hungary'],,,,0101000000B003E78C280D3340D7A3703D0ABF4740,
1579,RT @MuhammadLila: BREAKING:  Austrian Chancellor says Austria and Germany have agreed to accept thousands of refugees arriving from Hungary…,breaking austrian chancellor says austria and germany have agreed to accept thousands of refugees arriving from hungary,,twitter,,,2019-09-27 23:12:29.000000,0.77,0.93,"['austria', 'germany', 'hungary']",,HU,HU,010100000076711B0DE05D30409A99999999194840,
1580,"Austria, Germany open borders to REFUGEES | SBS News http://t.co/VBPuLhW5GO",austria germany open borders to refugees sbs news,,twitter,,,2019-09-27 23:16:37.000000,0.71,0.85,"['austria', 'germany']",,,,010100000076711B0DE05D30409A99999999194840,
1581,"RT @MossadNews: Austria and Germany to accept migrants from Hungary

Austria and Germany will both allow migrants and refugees in... http:/…",austria and germany to accept migrants from hungary austria and germany will both allow migrants and refugees in,,twitter,,,2019-09-27 23:18:24.000000,0.90,0.80,"['austria', 'germany', 'hungary']",,AT,,010100000076711B0DE05D30409A99999999194840,
1582,"RT @nytimesworld: Austria and Germany 'agree to allow' Syrian #refugees into their countries, Austrian chancellor says.  http://t.co/tCx80c…",austria and germany agree to allow syrian refugees into their countries austrian chancellor says,,twitter,,,2019-09-27 23:23:11.000000,0.64,0.85,"['austria', 'germany', 'syria']",,,,010100000076711B0DE05D30409A99999999194840,
1583,"RT @abcnews: Hundreds of #asylumseekers have
set out from #Hungary to walk to
#Vienna, #Austria
http://t.co/Bbpo87JwGd https://t.co/uOs…",hundreds of asylumseekers have set out from hungary to walk to vienna austria,,twitter,on foot,,2019-09-27 23:44:17.000000,0.85,1.00,"['hungary', 'vienna', 'austria']",,HU,AT13,010100000076711B0DE05D30409A99999999194840,
1584,"RT @Independent: Hungary to bus people to Austrian border after over 1,200 refugees start 135km walk http://t.co/Fvn4TOotD2 http://t.co/WOS…",hungary to bus people to austrian border after over 1 200 refugees start 135km walk,['http://pbs.twimg.com/media/COGMh2hWgAAqVRM.jpg'],twitter,bus,200,2019-09-27 23:44:21.000000,1.00,0.62,"['hungary', 'austria']",,,,0101000000B003E78C280D3340D7A3703D0ABF4740,
1585,"Refugees on buses in Hungary; Austria, Germany to take them http://t.co/T8F7hPatNy #fox5atl",refugees on buses in hungary austria germany to take them fox5atl,,twitter,bus,,2019-09-27 23:53:21.000000,0.65,0.16,"['hungary', 'austria', 'germany', 'germany']",,,,0101000000B003E78C280D3340D7A3703D0ABF4740,
1586,Hungary to take thousands of refugees to Austrian border by bus http://t.co/s7s6wjv7a2,hungary to take thousands of refugees to austrian border by bus,,twitter,bus,,2019-09-27 23:55:21.000000,1.00,1.00,"['hungary', 'austria']",,,,0101000000B003E78C280D3340D7A3703D0ABF4740,
1587,Hungary Sending Buses to Take Migrants and Refugees to Border http://t.co/GpywRW6bio,hungary sending buses to take migrants and refugees to border,,twitter,bus,,2019-09-27 23:59:23.000000,0.88,1.00,['hungary'],,,,0101000000B003E78C280D3340D7A3703D0ABF4740,
1588,“@JeffersonFaudan: Hungary says to bus migrants to Austrian border http://t.co/4BTP88X4IT” #ALDUBBATTLEForACause,hungary says to bus migrants to austrian border aldubbattleforacause,,twitter,bus,,2019-09-27 23:59:30.000000,0.93,1.00,"['hungary', 'austria']",,,,0101000000B003E78C280D3340D7A3703D0ABF4740,
1589,Thousands of migrants being taken to Austria’s border by Hungary will be allowed onward http://t.co/45FcpPzXGd,thousands of migrants being taken to austrias border by hungary will be allowed onward,,twitter,,,2019-09-28 00:07:46.000000,0.72,0.97,"['hungary', 'austria']",,,,0101000000B003E78C280D3340D7A3703D0ABF4740,
1590,RT @martinkaul: #Refugees are now going by foot to austrian border. 2.35am #marchofhope,refugees are now going by foot to austrian border 2 35am marchofhope,,twitter,on foot,,2019-09-28 00:38:56.000000,0.99,0.43,['austria'],,,,010100000076711B0DE05D30409A99999999194840,
1591,RT @dominiksipinski: Victory signs dominate among visibly reliefed #refugees who are picked up by buses from #Keleti to #Austria http://t.c…,victory signs dominate among visibly reliefed refugees who are picked up by buses from keleti to austria,['http://pbs.twimg.com/media/COGZYigWoAArshv.jpg'],twitter,bus,,2019-09-28 00:40:54.000000,0.96,0.71,['austria'],,,,010100000076711B0DE05D30409A99999999194840,
1592,RT @martinkaul: All #refugees from #bus1 have now reached austrian soil. #marchofhope 2.41am,all refugees from bus1 have now reached austrian soil marchofhope 2 41am,,twitter,bus,,2019-09-28 00:45:19.000000,0.84,0.00,['austria'],,,,010100000076711B0DE05D30409A99999999194840,
1593,RT @ConceptGrp: First Hungarian bus carrying migrants arrive at Austrian border as Europe's #refugeecrisis continues http://t.co/ISuWLyLz7j,first hungarian bus carrying migrants arrive at austrian border as europes refugeecrisis continues,['http://pbs.twimg.com/media/COGgebNVAAATyw6.jpg'],twitter,bus,,2019-09-28 01:22:43.000000,0.62,0.64,['austria'],,,,010100000076711B0DE05D30409A99999999194840,
1594,RT @RT_com: UPDATE: Hungarian buses carrying refugees are arriving at Austrian border http://t.co/yT5no7WWwN http://t.co/aWj4OWEoHI,update hungarian buses carrying refugees are arriving at austrian border,['http://pbs.twimg.com/media/COGkKYwW8AAEAW5.png'],twitter,bus,,2019-09-28 01:27:37.000000,0.98,1.00,['austria'],,,,010100000076711B0DE05D30409A99999999194840,
1595,First refugees arrive from Hungary after Austria and Germany open borders: People disembark at reception stati... http://t.co/ba6dyDxhvA,first refugees arrive from hungary after austria and germany open borders people disembark at reception stati,,twitter,,,2019-09-28 01:29:34.000000,0.53,0.77,"['hungary', 'austria', 'germany']",,HU,HU,0101000000B003E78C280D3340D7A3703D0ABF4740,
1596,RT @stephenlautens: Austria (pop. 8.5 million) to receive 1500 Syrian refugees tonight alone. http://t.co/b5n9IhmMgg #cdnpoli,austria pop 8 5 million to receive 1500 syrian refugees tonight alone cdnpoli,,twitter,,1500,2019-09-28 01:31:42.000000,1.00,0.02,"['austria', 'syria']",,,,010100000076711B0DE05D30409A99999999194840,
1597,Migrants begin arriving in Austria from Hungary - BBC News http://t.co/KjtpyevfS6 #News #topstories,migrants begin arriving in austria from hungary bbc news news topstories,,twitter,,,2019-09-28 01:41:26.000000,0.66,0.94,"['austria', 'hungary']",,HU,AT,010100000076711B0DE05D30409A99999999194840,
1598,RT @ElkNews: Migrants arrive at Austria border: Migrants begin arriving at the Austrian border after being buss... http://t.co/OuxmViRj4G -…,migrants arrive at austria border migrants begin arriving at the austrian border after being buss,,twitter,bus,,2019-09-28 01:49:48.000000,0.96,0.93,['austria'],,,AT,010100000076711B0DE05D30409A99999999194840,
1599,Hungary offers to bus migrants to Austrian border - The Washington Post https://t.co/YkB8AIOZT0,hungary offers to bus migrants to austrian border the washington post,,twitter,bus,,2019-09-28 02:04:24.000000,0.94,0.80,"['hungary', 'austria']",,,,0101000000B003E78C280D3340D7A3703D0ABF4740,
1600,"#retweet: RT AJENews: First Hungarian bus carrying refugees arrives at Austrian border, witness tells Reuters … http://t.co/FuuHNFpISn",retweet ajenews first hungarian bus carrying refugees arrives at austrian border witness tells reuters,['http://pbs.twimg.com/media/COGftMXU8AUg9CM.jpg'],twitter,bus,,2019-09-28 02:08:00.000000,0.69,0.60,['austria'],,,,010100000076711B0DE05D30409A99999999194840,
1601,RT @Lnnie: People begin to put bevereages on the way of refugees who are walking to #Vienna #MigrantMarch http://t.co/xwrsR67enX,people begin to put bevereages on the way of refugees who are walking to vienna migrantmarch,['http://pbs.twimg.com/media/COEy2irWEAA6Jq9.jpg'],twitter,on foot,,2019-09-28 02:29:55.000000,0.51,0.32,['vienna'],,,AT13,010100000076711B0DE05D30409A99999999194840,
1602,RT @NewsRevo: Full report on today's #MarchOfHope from #Budapest to #Austria where #refugees are now being fed &amp; seeing Red Cross http://t.…,full report on todays marchofhope from budapest to austria where refugees are now being fed amp seeing red cross,,twitter,on foot,,2019-09-28 02:57:52.000000,0.82,0.57,"['budapest', 'austria']",,HU110,AT,0101000000B003E78C280D3340D7A3703D0ABF4740,
1603,"New article: Migrants enter Austria, swept west by overwhelmed Hungary read more at here http://t.co/YxXX0tPnUs",new article migrants enter austria swept west by overwhelmed hungary read more at here,,twitter,,,2019-09-28 04:02:02.000000,0.60,0.31,"['austria', 'hungary']",,,,010100000076711B0DE05D30409A99999999194840,
1604,"Refugees begin arriving at Hungary-Austria border
http://t.co/MUojUY9QLp",refugees begin arriving at hungary austria border,,twitter,,,2019-09-28 04:11:52.000000,0.96,1.00,"['hungary', 'austria']",,,HU,0101000000B003E78C280D3340D7A3703D0ABF4740,
1605,Austria and Germany agree to receive refugees marching from Hungary #march to #Austria. http://t.co/iciMEVxH5K,austria and germany agree to receive refugees marching from hungary march to austria,,twitter,on foot,,2019-09-28 04:26:17.000000,0.59,1.00,"['austria', 'germany', 'hungary']",,HU,AT,010100000076711B0DE05D30409A99999999194840,
1606,First wave of migrant buses reaches Austria from Hungary http://t.co/WKrUaq7Jwk,first wave of migrant buses reaches austria from hungary,,twitter,bus,,2019-09-28 04:49:36.000000,0.97,0.99,"['austria', 'hungary']",,HU,,010100000076711B0DE05D30409A99999999194840,
1607,"Iceland Caps Syrian Refugees at 50; 10,000 Icelanders Respond by Offering Up Their Homes http://t.co/SnWQnTgjtD",iceland caps syrian refugees at 50 10 000 icelanders respond by offering up their homes,,twitter,,,2019-09-28 05:05:47.000000,0.99,0.99,"['iceland', 'syria', 'iceland']",,,,,
1609,"RT @RT_com: BREAKING: 2,000 #refugees arrive from Hungary to border with #Austria - police http://t.co/0XhBrqFSfB http://t.co/VzNxT4KnT1",breaking 2 000 refugees arrive from hungary to border with austria police,['http://pbs.twimg.com/media/COHY1IDWwAAQDZr.png'],twitter,,0,2019-09-28 05:17:44.000000,1.00,0.99,"['hungary', 'austria']",,HU,HU,0101000000B003E78C280D3340D7A3703D0ABF4740,
1610,"RT @AJENews: About 2,000 refugees have arrived at Austria's border from Hungary http://t.co/xcwFNBZJGL http://t.co/tvI3J1FlLf",about 2 000 refugees have arrived at austrias border from hungary,['http://pbs.twimg.com/media/COHZJqeWgAA6341.jpg'],twitter,,0,2019-09-28 05:19:07.000000,1.00,0.99,"['hungary', 'austria']",,HU,,0101000000B003E78C280D3340D7A3703D0ABF4740,
1611,"RT @AP: BREAKING: More than 1,000 migrants from Middle East and Asia arrive by bus on border with Austria",breaking more than 1 000 migrants from middle east and asia arrive by bus on border with austria,,twitter,bus,,2019-09-28 05:23:47.000000,1.00,0.65,['austria'],,,,010100000076711B0DE05D30409A99999999194840,
1612,"Hungary buses first migrants to Austrian border
http://t.co/kd8DppqN0Q http://t.co/xtF8wQF9Gv",hungary buses first migrants to austrian border,['http://pbs.twimg.com/media/COHqh8WVEAAK2v5.jpg'],twitter,bus,,2019-09-28 06:35:03.000000,0.97,1.00,"['hungary', 'austria']",,,,0101000000B003E78C280D3340D7A3703D0ABF4740,
1613,RT @FRANCE24: Migrants arrive in Austria after being bused from Hungary http://t.co/15Idy1vci7 http://t.co/1CqWP7nQeW,migrants arrive in austria after being bused from hungary,['http://pbs.twimg.com/media/COHdQurUsAUpauA.jpg'],twitter,bus,,2019-09-28 05:37:04.000000,0.85,1.00,"['austria', 'hungary']",,HU,AT,010100000076711B0DE05D30409A99999999194840,
1614,Refugee crisis: Hungary begins to bus migrants to Austrian border; others walk: Sending Europe's refugee crisi... http://t.co/QxwPxt5g9H,refugee crisis hungary begins to bus migrants to austrian border others walk sending europes refugee crisi,,twitter,bus,,2019-09-28 05:59:23.000000,0.91,0.88,"['hungary', 'austria']",,,,0101000000B003E78C280D3340D7A3703D0ABF4740,
1615,"RT @cctvnews: Austrian police: 2,000 refugees have arrived at country's border from Hungary, numbers may double throughout the day http://t…",austrian police 2 000 refugees have arrived at countrys border from hungary numbers may double throughout the day,['http://pbs.twimg.com/media/COHlrIjVAAANtUX.jpg'],twitter,,,2019-09-28 06:13:52.000000,1.00,0.68,"['hungary', 'austria']",,HU,,0101000000B003E78C280D3340D7A3703D0ABF4740,
1616,"RT @INCWorldAgency: #Syria | Syrian refugees on train bound for #Germany after crossing Hungarian border

Photo Via : @BBCMatthewPrice http…",syria syrian refugees on train bound for germany after crossing hungarian border photo via,['http://pbs.twimg.com/media/COHqjw8WsAAojyt.jpg'],twitter,train,,2019-09-28 06:35:19.000000,0.55,0.14,"['germany', 'syria']",,,,0101000000151DC9E53FC42A40EEEBC03923424A40,
1617,Migrants bussed to Austria border: Thousands of exhausted migrants cross into Austria after Hungary's surprise move to provide buses ...,migrants bussed to austria border thousands of exhausted migrants cross into austria after hungarys surprise move to provide buses,,twitter,bus,,2019-09-28 06:43:30.000000,0.81,0.61,"['austria', 'hungary']",,,AT,010100000076711B0DE05D30409A99999999194840,
1618,"RT @Muschelschloss: #marchofhope #Austria #Hungary
""Applause #Vienna people for #refugees""
pic via @florianklenk
http://t.co/SrBvn0Z1qH
 ht…",marchofhope austria hungary applause vienna people for refugees pic via ht,['http://pbs.twimg.com/media/COHxsqsWEAAahaS.jpg'],twitter,on foot,,2019-09-28 07:13:54.000000,0.77,0.08,"['austria', 'hungary', 'vienna']",,,,010100000076711B0DE05D30409A99999999194840,
1619,Thousands of Migrants Reach Austria http://t.co/bApdQHGK9l | via @WSJ,thousands of migrants reach austria via,,twitter,,,2019-09-28 07:22:09.000000,0.59,1.00,['austria'],,,AT,010100000076711B0DE05D30409A99999999194840,
1620,RT @ppinternational: Hungary closes Serbian border crossing as refugees make for Austria on foot http://t.co/nj9zjdUA8C http://t.co/YueHzdu…,hungary closes serbian border crossing as refugees make for austria on foot,['http://pbs.twimg.com/media/COH3FxeVEAEdHw1.jpg'],twitter,on foot,,2019-09-28 07:29:55.000000,0.99,0.33,"['hungary', 'austria', 'serbia']",,,,0101000000B003E78C280D3340D7A3703D0ABF4740,
